t	(Var=minDt) Max	(Var=minDt) WeightedMean	(Var=minDt) Min
160.0	46.413639415801164	46.01996949562851	45.57171073446752
160.5	46.637527019658926	46.243579297310774	45.795002148009324
161.0	46.88737396495757	46.492978867562655	46.043889114756986
161.5	47.161482524316796	46.766476778424455	46.316687410267974
162.0	47.457994765285086	47.062222606821095	46.611555193331384
162.5	47.77489717087207	47.378211451314264	46.926497404767964
163.0	48.11002609613583	47.71228927833515	47.25937098853102
163.5	48.46107430318305	48.062159341746224	47.607891179675256
164.0	48.82559881292576	48.42538991284299	47.96963909640381
164.5	49.201030294472794	48.79942354362862	48.34207086014682
165.0	49.58468419115064	49.18158806299705	48.722528444410024
165.5	49.9737737528457	49.569109476818866	49.10825242489337
166.0	50.3654251020446	49.9591269014505	49.49639676257865
166.5	50.75669441913984	50.34870961799355	49.88404570941885
167.0	51.14458727767132	50.734876280748935	50.268232873016515
167.5	51.52608010142826	51.114616254519895	50.64596241808921
168.0	51.898143653002286	51.48491299322631	51.01423232056615
168.5	52.25776839627147	51.84276930535046	51.37005952285917
169.0	52.60199150740512	52.185234283411354	51.710506771137936
169.5	52.927925240520345	52.50943160599517	52.03271084526464
170.0	53.232786291317396	52.81258885744449	52.333911828693985
170.5	53.513925734274544	53.092067441708345	52.611482995892
171.0	53.768859066677585	53.345392623511685	52.86296085024252
171.5	53.995295836844974	53.57028317309439	53.08607478735646
172.0	54.19116830983571	53.76468006538157	53.27877583185099
172.5	54.35465859805248	53.92677365736851	53.439263867335875
173.0	54.48422368548157	54.055028768004405	53.56601277835462
173.5	54.57861778317944	54.14820709202961	53.657792929556095
174.0	54.63691148251711	54.20538640878132	53.713690435756256
174.5	54.65850722137516	54.225976093995	53.73312272345282
175.0	54.64315063646159	54.20972850182851	53.71584994429958
175.5	54.59093745918535	54.15674586845228	53.66198188438484
176.0	54.5023156967692	54.06748247466303	53.57198010278525
176.5	54.378082947476614	53.94274191284027	53.44665514012758
177.0	54.219378805515994	53.783669412821006	53.2871587510683
177.5	54.027672428487094	53.591739300139835	53.094971234833686
178.0	53.804745452167076	53.36873777459031	52.871884055505056
178.5	53.5526705514573	53.11674131291732	52.6199780617343
179.0	53.27378605135369	52.83809110655656	52.341597724976985
179.5	52.970667081836915	52.535364036761074	52.03932190834451
180.0	52.64609385547313	52.21134077546951	51.715931765428174
180.5	52.30301770334065	51.86897165737045	51.37437642586043
181.0	51.944525551049566	51.51134101464612	51.017737170140734
181.5	51.57380353610676	51.14163068441461	50.64919081376336
182.0	51.194100467361466	50.763083396979255	50.27197301711042
182.5	50.80869180595618	50.37896672976813	49.88934221201988
183.0	50.42084480617829	49.992538268661306	49.50454479038067
183.5	50.033785389237416	49.60701255043945	49.1207821291946
184.0	49.650667252097094	49.22553028723472	48.74117995119256
184.5	49.27454362033981	48.8511302780001	48.368760421498614
185.0	48.90834195805527	48.48672431457819	48.00641728146751
185.5	48.55484184919635	48.13507528975278	47.656894218877966
186.0	48.21665615685005	47.79877860561408	47.322766563515046
186.5	47.89621547489628	47.480246888361286	47.00642630453794
187.0	47.59575579165357	47.18169792057372	46.71007033097702
187.5	47.317309211685796	46.905145629101355	46.43569172420058
188.0	47.062697502042646	46.65239388769646	46.18507385355874
188.5	46.83352819396803	46.425032859302824	45.959786992952814
189.0	46.63119291839742	46.22443755140526	45.7611871264331
189.5	46.456867639893254	46.0517682455985	45.590416599861896
190.0	46.31151444406667	45.907972454147824	45.44840626913762
190.5	46.19588454009008	45.79378806405437	45.33587880420509
191.0	46.11052215930732	45.709747349695945	45.253352830107374
191.5	46.05576905584458	45.656181560746965	45.20114761282214
192.0	46.031769357761824	45.63322583545947	45.17938804172675
192.5	46.0384745535225	45.64082422597003	45.18800969765552
193.0	46.07564844791944	45.67873467215816	45.22676384573398
193.5	46.14287196873359	45.74653380746556	45.29522223896364
194.0	46.23954775391123	45.843621528857085	45.39278166742547
194.5	46.36490449566253	45.96922530939053	45.51866823396338
195.0	46.51800106261229	46.12240427641686	45.671941381535675
195.5	46.69773046190442	46.30205311894299	45.85149773757588
196.0	46.902823740149415	46.50690592434775	46.05607487709753
196.5	47.13185395323064	46.735540075546815	46.28425513682453
197.0	47.38324036161148	46.98638036608304	46.534469638736674
197.5	47.65525302748782	47.25770351011827	46.80500270076138
198.0	47.9460180040533	47.54764323814273	47.09399682603665
198.5	48.25352331564405	47.8541961776692	47.399458470485925
199.0	48.57562592548958	48.17522871615928	47.71926478663931
199.5	48.91005988466318	48.50848504043685	48.051171538669905
200.0	49.25444584022758	48.85159653137047	48.392822368226184
200.5	49.606302060965206	49.20209267330711	48.74175957187483
201.0	49.963057111852535	49.55741361070286	49.095436523996945
201.5	50.322064275209506	49.91492445146686	49.45123184650315
202.0	50.680617775546004	50.271931375944014	49.806465386341024
202.5	51.03597082040162	50.625699565908654	50.158416017630124
203.0	51.38535541889587	50.973472917542225	50.50434123492894
203.5	51.72600388545884	51.31249544825858	50.84149845013529
204.0	52.055171881558365	51.64003425238839	51.167167850613666
204.5	52.370162787447136	51.95340379995972	51.478676615216465
205.0	52.66835314318189	52.249991319406845	51.7734242308968
205.5	52.94721884154649	52.52728294824715	52.04890859540149
206.0	53.20436170500531	52.78289028429721	52.30275253921458
206.5	53.43753603965266	53.01457693019239	52.53273035923764
207.0	53.64467471430285	53.220284578274104	52.73679390992759
207.5	53.82391429983843	53.3981581688946	52.91309778268187
208.0	53.97361877753572	53.5465696279476	53.06002307587544
208.5	54.092401333905535	53.66413969731717	53.17619926471059
209.0	54.179143762057045	53.74975737381213	53.2605236817358
209.5	54.23301302548122	53.80259650814456	53.3121781539826
210.0	54.25347457187395	53.82212914489159	53.33064237118981
210.5	54.2403020458824	53.80813525005042	53.315703627477966
211.0	54.19358311032449	53.76070852898031	53.26746263364412
211.5	54.113721166283604	53.68025812325574	53.186335184202115
212.0	54.001432847493746	53.56750605872759	53.07304955041303
212.5	53.85774125733461	53.423480412692676	52.92863956498686
213.0	53.68396501053123	53.24950426363771	52.754433464226274
213.5	53.48170324413908	53.04718058868501	52.552038653835154
214.0	53.252816846377705	52.818373364194116	52.32332266116581
214.5	52.9994062503817	52.565185220036746	52.070390628834666
215.0	52.72378620778108	52.28993206956756	51.795559780216514
215.5	52.42845803299516	51.995115214520354	51.50133136466571
216.0	52.11607985251417	51.683391465533916	51.19036063177236
216.5	51.78943543917572	51.35754186706328	50.86542543261848
217.0	51.45140222060467	51.020439621809565	50.52939404995738
217.5	51.10491905892702	50.675017818166374	50.18519286843459
218.0	50.7529543770171	50.32423753998986	49.83577446845722
218.5	50.39847518039848	49.9710569108303	49.48408669880232
219.0	50.044417464228445	49.61840156162801	49.133043217783246
219.5	49.69365844083899	49.26913695806464	48.78549593768142
220.0	49.34899094816323	48.926042945723616	48.444209727577494
220.5	49.01310032517744	48.59179078834117	48.11183964439021
221.0	48.688543942318326	48.268922893012714	47.790910880137105
221.5	48.377733511455375	47.959835329514576	47.48380152457261
222.0	48.08292019854369	47.66676316858241	47.19272816134495
222.5	47.80618250344587	47.391768590138625	46.919734239611614
223.0	47.54941678978556	47.136731642776056	46.666681095792114
223.5	47.31433029881629	46.903343479364125	46.43524144326398
224.0	47.10243643007343	46.69310184875974	46.22689510402306
224.5	46.91505204181916	46.507308589055675	46.04292672344261
225.0	46.75329649817214	46.3470688512916	45.884425192194186
225.5	46.618092184074676	46.213291766692905	45.75228448788578
226.0	46.51016621036454	46.10669228239064	45.64720565808898
226.5	46.430053043584415	46.0277938985502	45.56969967875653
227.0	46.378097814811525	45.97693206167934	45.52009094237334
227.5	46.35446009161602	45.95425799910653	45.49852116250912
228.0	46.359117929725876	45.95974281261446	45.50495351404891
228.5	46.39187205800493	45.993181686594376	45.53917686645257
