t	(Var=minDt) Max	(Var=minDt) WeightedMean	(Var=minDt) Min
186.0	48.216058069141354	47.7981784504171	47.32216419853303
189.0	46.63067994068626	46.22392607624852	45.76067743655797
192.0	46.03131135910497	45.6327720189848	45.1789394357723
195.0	46.51746233757293	46.12187193442872	45.67141698496778
198.0	47.94506865515308	47.54670508204702	47.093072048588596
201.0	49.961250290990904	49.55562517265627	49.09366975189964
204.0	52.05208634471241	51.63697761430608	51.16414410439696
207.0	53.64014522863921	53.21579352421665	52.732346748029485
210.0	54.24779932417575	53.8164981468529	53.32506218461378
213.0	53.67805951926319	53.24364731211824	52.74863183355612
216.0	52.1113776846409	51.67873307366153	51.18575206783281
219.0	50.04251624958284	49.61652678658174	49.13119848846522
222.0	48.08502150691326	47.66886232232763	47.19482489045188
225.0	46.76011238963961	46.353843793570285	45.891153370696394
228.0	46.37089100853288	45.971427412826664	45.516537604391175
231.0	46.97480339267998	46.57716905269702	46.12437495338193
234.0	48.405240407067396	48.00428868906822	47.547692406370565
237.0	50.305569388715305	49.89745209159583	49.43264274784844
240.0	52.18288412507028	51.7659041167934	51.290927636455535
243.0	53.51126907088362	53.08598464828337	52.601470768838375
246.0	53.887998624969946	53.456834664989266	52.96556060746398
249.0	53.188363816215414	52.75513516949447	52.26148594735246
252.0	51.630258645342124	51.19960989687571	50.70892778114005
255.0	49.694370336510296	49.27065872872268	48.787949294757205
258.0	47.940495550231596	47.52622425352542	47.054353157280374
261.0	46.82449898158875	46.41923346166133	45.9576908559908
264.0	46.59560269065089	46.196150676365995	45.74126979575463
267.0	47.27691612686753	46.878558841242125	46.42493045478835
270.0	48.686816140852635	48.284856556526954	47.82709875483349
273.0	50.474793778484866	50.06582642612286	49.60003390689974
276.0	52.18053749224056	51.76312613800074	51.28764580708151
279.0	53.338078456781815	52.912793385330126	52.42827182562336
282.0	53.61744970484932	53.18651383517364	52.695500601953384
285.0	52.949841595323285	52.51670021636123	52.02315874937394
288.0	51.56286444546864	51.131612923260406	50.640254844378724
291.0	49.89413578679809	49.46848102568183	48.983565897719274
294.0	48.42860882049941	48.01056048746384	47.53438885077116
297.0	47.545575066112356	47.1346696287963	46.666700077128304
300.0	47.432908629883464	47.02651152189255	46.563715419456685
303.0	48.06768454823927	47.662149581567625	47.20034269259274
306.0	49.232856276619984	48.824924473352525	48.36036572986741
309.0	50.55734371945974	50.14523764716238	49.675880084404895
312.0	51.59212313001512	51.176032231318985	50.70207911651646
315.0	51.93537272477432	51.51729892054937	51.04103280632764
318.0	51.383413557262095	50.96661791964359	50.491773482305206
321.0	50.03589258332618	49.624146908542755	49.15505369971647
324.0	48.281327452531876	47.87785754423863	47.41822103503217
327.0	46.65811249661315	46.26420918928959	45.815513725139624
330.0	45.67506649110345	45.28897051531475	44.84920469653881
333.0	45.69236458423261	45.30908891127256	44.87255086337749
336.0	46.891979535238555	46.50405149261956	46.06220170641826
339.0	49.29678134135171	48.89538844468506	48.438159323580926
342.0	52.78644551647921	52.362609113380564	51.87974452588992
345.0	57.08941493257685	56.635155427234125	56.11753754832043
348.0	61.758476483674215	61.26804296290637	60.70909673157259
351.0	66.14968955106104	65.62091080968577	65.01815082297821
354.0	69.42630468602735	68.86208457345207	68.21883536483907
357.0	70.61259058346418	70.02259588977876	69.34993760449194
360.0	68.74233874270378	68.14482352900495	67.46368899782158
363.0	63.167062847705665	62.590255297544545	61.93299184291646
366.0	54.06251364840556	53.54319259072055	52.951840534427774
369.0	42.939454383834175	42.51333715118418	42.028529673105055
372.0	32.46316690265489	32.14527867960318	31.783842047626827
375.0	24.961381737743	24.734801915647356	24.47722267360175
378.0	20.99111712022958	20.822969371624758	20.63175510555582
381.0	19.91535556660586	19.776929349218417	19.619408954531753
384.0	21.236264923020652	21.10630646400095	20.958282664942914
387.0	25.206430642278495	25.06540054886747	24.9045832324408
390.0	32.99342883460211	32.81553752071473	32.612440136839496
393.0	46.45860824424984	46.202276878250686	45.90927911650848
396.0	67.1250254770995	66.72461651664317	66.2664570624856
399.0	95.72262863527301	95.08759558854143	94.36038006396444
402.0	135.5179433483195	134.55018990781207	133.44104667805243
405.0	193.17796243360323	191.9400522321413	190.5178056478989
408.0	264.2339693131714	263.742335085391	263.16205495137046
411.0	313.85313961023775	310.35647743737616	307.31602789076044
414.0	258.18124141576885	251.22094235149794	245.36299858790775
417.0	80.69892116394487	79.5465329816602	78.59394566472332
420.0	14.924983174502652	14.843384010533109	14.777343343806464
423.0	10.265368125070534	10.222859216743736	10.188720080232384
426.0	10.27819546348062	10.256570507024296	10.239858098885684
429.0	12.859991625513358	12.855459759955783	12.853226037968257
432.0	19.750703215475927	19.73125415008624	19.71110687581672
435.0	35.714744390961705	35.642258658629466	35.56173897006845
438.0	65.20929978984546	65.00018528375422	64.76353265519907
441.0	105.75488956826393	105.27881410043949	104.73613835952962
444.0	158.31238854493952	157.45417703201318	156.47260307904943
447.0	234.34085438034768	233.30326699786698	232.11058760482152
450.0	328.00786608386915	327.0798014417136	326.2500023124143
453.0	384.6353208401422	375.75204481078555	368.1083694505885
456.0	280.5214333292027	268.05674006336	257.8030471584005
459.0	55.040417144536214	53.973455920946186	53.09879205046795
462.0	13.346428766405843	13.139361625021703	12.96962918278046
465.0	10.325837651829277	10.200466277680079	10.098027461839493
468.0	10.794069238435236	10.706322039805181	10.635102407200591
471.0	14.089467466615057	14.023209937954544	13.970240041188076
474.0	22.737316420577404	22.689829929829365	22.653751006358373
477.0	42.35527550791633	42.34734012808218	42.34184539958739
480.0	76.1496506451139	76.00819048961863	75.85620137714432
483.0	120.08892477132648	119.68044721850096	119.22386027304793
486.0	178.91155150007702	178.16144800812827	177.3140489442904
489.0	263.18549000553526	262.61588912290154	261.97098201989814
492.0	358.27399087402483	355.1620792878611	352.4525188653603
495.0	383.8035634531541	371.4195844008792	360.9149083853069
498.0	219.17823292169786	208.94826342424363	200.66072033495922
501.0	29.208759830868562	28.70416257267728	28.291170881445645
504.0	11.983789957318505	11.786996640955786	11.626197055133211
507.0	10.27346919486743	10.146492561853275	10.043120337417365
510.0	11.43754297851139	11.344729502699321	11.269719663576655
513.0	15.835295119637333	15.761679442351644	15.703175062103165
516.0	26.939313240286	26.88488408763849	26.84412973565045
519.0	50.6073980969586	50.59155112636206	50.58184962794937
522.0	87.74926897739014	87.57090791387081	87.37937833246443
525.0	134.70840078644295	134.23660305965458	133.71060349913
528.0	200.249941987747	199.48204194781573	198.6178133626093
531.0	290.63855187832513	290.4617573188967	290.26940613403883
534.0	378.8729932430803	373.3670376260456	368.602150353083
537.0	360.24770867649136	345.9583277032935	333.99659871391685
540.0	146.04884910660274	140.14916804705263	135.3957615120482
543.0	18.913332626011652	18.574834266870514	18.29820075951688
546.0	11.106136867418654	10.932535907439314	10.790905806933527
549.0	10.356669409470221	10.239590810686671	10.144495267208026
552.0	12.27267346892428	12.184533469733104	12.113581041537183
555.0	18.051160758232736	17.980086521995222	17.92411752922669
558.0	32.13253459318231	32.08575097806635	32.05241792432295
561.0	59.938913508444976	59.89345683503061	59.852781167879385
