t	(Var=A) A	(Var=AB) AB	(Var=ABC) ABC	(Var=AC) AC	(Var=B) B	(Var=BAC) BAC	(Var=BC) BC	(Var=C) C	(Var=CABC) CABC
0.06491361121635258	0.5229509349919818	8.444464216383101E-4	0.035719649900475915	635.0071289282278	0.5229509349919815	0.03571964990047592	635.0071289282275	14131.299705127361	798.8072988619984
0.06626081817661797	0.5166460647687592	8.402683250343522E-4	0.036715017113741116	632.5095832387071	0.5166460647687591	0.03671501711374111	632.5095832387069	14093.307712319833	820.2998455880708
0.06760802513688335	0.5104369458882726	8.358268462501982E-4	0.03770511647604582	629.9341592441125	0.5104369458882725	0.037705116476045804	629.9341592441123	14055.890751014305	841.5827601360669
0.06895523209714874	0.5043216611516255	8.311390460336022E-4	0.0386896685112167	627.2907078557082	0.5043216611516254	0.0386896685112167	627.290707855708	14019.037377750476	862.6519136043506
0.07030243905741412	0.49829834548235624	8.262211614798527E-4	0.03966842326018222	624.588196021592	0.49829834548235613	0.03966842326018222	624.5881960215918	13982.736458055617	883.5039065311477
0.07164964601767951	0.49236518399892576	8.210886453708773E-4	0.040641157879457095	621.8347822438573	0.49236518399892565	0.04064115787945709	621.834782243857	13946.977155068922	904.1359990676102
0.07299685297794489	0.486520410182154	8.157562034977195E-4	0.041607674381889725	619.0378859979644	0.48652041018215386	0.041607674381889725	619.0378859979642	13911.748918725802	924.5460469685613
0.07434405993821028	0.4807623041318539	8.102378300812731E-4	0.042567797543471494	616.2042514648014	0.4807623041318538	0.042567797543471494	616.2042514648011	13877.041475468195	944.7324430073652
0.07569126689847566	0.4750891909069134	8.045468414071611E-4	0.04352137301332182	613.340005976237	0.47508919090691326	0.04352137301332181	613.3400059762367	13842.8448184471	964.6940634310082
0.07703847385874105	0.4694994389437413	7.986959077752122E-4	0.04446826554800037	610.4507135555441	0.4694994389437412	0.04446826554800037	610.4507135555439	13809.149198187082	984.4302190891759
0.07838568081900643	0.46399145854838414	7.926970838600382E-4	0.04540835732608808	607.5414239767483	0.46399145854838403	0.04540835732608809	607.5414239767481	13775.945113685066	1003.9406108272013
0.07973288777927182	0.45856370045845163	7.865618375534684E-4	0.04634154652537339	604.6167176096083	0.4585637004584515	0.04634154652537339	604.616717609608	13743.223303920897	1023.225288887227
0.0810800947395372	0.45321465447056497	7.803010773793297E-4	0.04726774594712085	601.6807464308324	0.45321465447056486	0.04726774594712083	601.6807464308321	13710.974739753976	1042.2846159500423
0.08242730169980259	0.44794284812940605	7.739251785617927E-4	0.04818688165304464	598.7372715269769	0.44794284812940593	0.04818688165304465	598.7372715269765	13679.19061618279	1061.1192335037852
0.08377450866006797	0.4427468454748805	7.674440078177545E-4	0.04909889188459414	595.789697362554	0.4427468454748804	0.049098891884594126	595.7896973625536	13647.8623449473	1079.7300312757225
0.08512171562033335	0.4376252458441813	7.608669469387486E-4	0.05000372605671468	592.84110307009	0.43762524584418117	0.050003726056714666	592.8411030700896	13616.981547454787	1098.118119480271
0.08646892258059874	0.43257668272568295	7.542029152264285E-4	0.05090134362895118	589.8942710154811	0.4325766827256829	0.050901343628951205	589.8942710154806	13586.540048010706	1116.2848036393484
0.08781612954086412	0.4275998226617571	7.474603908433607E-4	0.05179171325814703	586.9517128774389	0.42759982266175706	0.05179171325814703	586.9517128774385	13556.529867338157	1134.2315617440358
0.08916333650112951	0.4226933641978072	7.406474311366834E-4	0.052674812140387786	584.0156934550749	0.4226933641978071	0.05267481214038776	584.0156934550745	13526.943216369906	1151.960023551643
0.0905105434613949	0.4178560368750311	7.337716919877355E-4	0.05355062505980384	581.0882523957707	0.41785603687503103	0.053550625059803875	581.0882523957703	13497.77249029728	1169.4719518343406
0.09185775042166028	0.4130866002645858	7.268404462376007E-4	0.054419143637875186	578.1712240211507	0.41308660026458577	0.0544191436378752	578.1712240211502	13469.01026286323	1186.7692254074084
0.09320495738192566	0.40838384304096575	7.198606012363789E-4	0.05528036603018483	575.2662554173799	0.4083838430409657	0.05528036603018476	575.2662554173794	13440.649280887159	1203.8538237768225
0.09455216434219105	0.40374658209254055	7.128387155614169E-4	0.05613429617221238	572.3748229427357	0.4037465820925405	0.05613429617221241	572.3748229427352	13412.682459007628	1220.7278132610898
0.09589937130245643	0.39917366166733226	7.057810149468136E-4	0.05698094292309194	569.4982472911577	0.39917366166733215	0.056980942923092026	569.4982472911572	13385.102874632326	1237.3933344535683
0.09724657826272182	0.3946639525522409	6.986934074643E-4	0.05782032009806185	566.6377072378003	0.3946639525522408	0.057820320098061755	566.6377072377999	13357.90376308673	1253.8525909025493
0.0985937852229872	0.3902163512840409	6.915814979934253E-4	0.05865244609642621	563.7942521821229	0.3902163512840408	0.058652446096426177	563.7942521821225	13331.07851294901	1270.1078389010877
0.09994099218325259	0.3858297793905685	6.844506020164404E-4	0.059477342673788874	560.9688135946224	0.3858297793905684	0.059477342673789076	560.9688135946219	13304.620661560983	1286.161378286025
0.10128819914351797	0.3815031826606203	6.773057587717065E-4	0.06029503510740554	558.1622154641072	0.38150318266062017	0.060295035107405436	558.1622154641068	13278.523890710865	1302.0155441491654
0.10263540610378336	0.3772355304411742	6.701517437981229E-4	0.061105552685857926	555.3751838336317	0.3772355304411741	0.06110555268585767	555.3751838336312	13252.78202247757	1317.6726993787097
0.10398261306404874	0.3730258149606263	6.629930809003213E-4	0.061908926935346505	552.6083555053237	0.3730258149606262	0.061908926935346865	552.6083555053233	13227.389015223654	1333.135227959726
0.10532982002431412	0.3688730506768139	6.558340535626655E-4	0.0627051911750615	549.8622859873503	0.3688730506768138	0.06270519117506163	549.8622859873499	13202.338959736862	1348.405528956856
